,date_of_sale,address,location,livingarea,rooms,plotarea,closingprice
1128,2019-03-25,Lagvägen 27,"Ytterby, Kungälvs kommun",148,6,692.0,3810000
1129,2019-03-21,Grannebydal 260,"Hålta, Kungälvs kommun",120,4,1574.0,2300000
1130,2019-03-17,Solvagnsgatan 32,"Ytterby, Kungälvs kommun",138,5,385.0,5200000
1131,2019-03-15,Hammar 510,"Kode, Kungälvs kommun",143,140,3324.0,3900000
1132,2019-03-13,Skolstigen 2,"Kungälv, Kungälvs kommun",170,7,1080.0,4570000
1133,2019-03-06,Munkegärdegatan 99,"Blodriskan, Kungälvs kommun",159,5,345.0,4350000
1134,2019-03-04,Kyrkeby 220,"Harestad, Kungälvs kommun",109,4,6999.0,4750000
1135,2019-03-01,Kulperödsvägen 35,"Bohuslän, Kungälvs kommun",143,5,3089.0,4050000
1136,2019-02-28,Tjäderstigen  4,"Kungälv - Centralt, Kungälvs kommun",126,4,362.0,4285000
1137,2019-02-28,Flateby 450,"Harestad, Kungälvs kommun",281,8,1351.0,3630000
1138,2019-02-27,Bergkristallvägen 18,"Kode, Kungälvs kommun",127,6,608.0,4400000
1139,2019-02-27,Prästvägen 710,"Romelanda, Kungälvs kommun",186,8,1034.0,4300000
1140,2019-02-24,Granndalen 14,"Bohuslän, Kungälvs kommun",124,4,1229.0,2995000
1141,2019-02-22,Ranneberg  154,"Kärna, Kungälvs kommun",165,4,2381.0,5200000
1142,2019-02-21,Kvarnvägen 22,"Kode, Kungälvs kommun",136,5,1318.0,3570000
1143,2019-02-18,Lingonvägen 43,"Centralt, Kungälvs kommun",126,5,383.0,4050000
1144,2019-02-15,Hamngatan 11,"Centralt, Kungälvs kommun",178,3,636.0,4890000
1145,2019-02-14,Rönnvägen  22,"Romelanda, Kungälvs kommun",178,5,823.0,3375000
1146,2019-02-14,Lyckevägen  9,"Kärna, Kungälvs kommun",340,9,2284.0,4300000
1147,2019-02-14,Ekvägen 12,"Ytterby, Kungälvs kommun",208,6,770.0,4000000
1148,2019-02-13,Rostock 362,"Bohuslän, Kungälvs kommun",136,5,1070.0,4650000
1149,2019-02-12,Tjuvkil 460,"Tjuvkil, Kungälvs kommun",135,4,1231.0,3900000
1150,2019-02-11,Sjöhed 310,"Kärna - Harestad, Kungälvs kommun",184,5,1208.0,3700000
1151,2019-02-11,Galärgatan 3,"Komarken, Kungälvs kommun",173,4,628.0,4200000
1152,2019-02-08,Bastövägen 4,"Överön - Kärna, Kungälvs kommun",160,6,2786.0,4995000
1153,2019-02-07,Furuvägen 1,"Diseröd, Kungälvs kommun",140,5,742.0,2795000
1154,2019-02-07,Prejelvägen 112,"Centrum, Kungälvs kommun",142,5,382.0,5300000
1155,2019-02-04,Hallsbrovägen  14,"Kärna, Kungälvs kommun",206,6,2108.0,3700000
1156,2019-02-01,Nämndemansvägen  12,"Ytterby, Kungälvs kommun",152,6,680.0,3895000
1157,2019-02-01,Lyckevägen 3,"Kärna, Kungälvs kommun",192,5,2857.0,3770000
1158,2019-02-01,Häradsvägen 24,"Ytterby, Kungälvs kommun",130,5,342.0,3387500
1159,2019-01-30,Backsippegatan  4,"Ytterby - Tornhaga, Kungälvs kommun",115,5,577.0,3300000
1160,2019-01-30,Rishammar 262,"Kareby, Kungälvs kommun",186,6,5205.0,4550000
1161,2019-01-27,Vitsippegatan 4,"Ytterby - Tornhaga, Kungälvs kommun",189,8,626.0,4700000
1162,2019-01-24,Galeasgatan 17,"Centrum, Kungälvs kommun",289,6,574.0,5425000
1163,2019-01-22,Vältvägen 509,"Ullstorp, Kungälvs kommun",105,4,319.0,4550000
1164,2019-01-21,Gategården 250,"Hålta, Kungälvs kommun",166,5,1500.0,3990000
1165,2019-01-21,Rondan 37,"Ödsmåls mosse/Rörtången, Kungälvs kommun",80,4,1617.0,2850000
1166,2019-01-20,Kantorvägen 3,"Diseröd centrum, Kungälvs kommun",179,5,761.0,4100000
1167,2019-01-19,Hemvägen  15,"Romelanda, Kungälvs kommun",138,5,398.0,3550000
1168,2019-01-18,Tvetgatan 43,"Tveten, Kungälvs kommun",109,5,156.0,3450000
