country,,country,year,mean_years_of_schooling_female,share_of_male_seats_in_parliament,mean_years_of_schooling,income_inequality,co2_emissions_per_capita_tonnes,expected_years_of_schooling_male,expected_years_of_schooling,female_labour_force_participation_rate,female_population_with_some_secondary_education,expected_years_of_schooling_female,adolescent_birth_rate_per_1000_women_ages_15_19,material_footprint_per_capita_tonnes,mean_years_of_schooling_male,male_population_with_some_secondary_education,share_of_female_seats_in_parliament,education_inequality,gender_development_index,coefficient_of_human_inequality,male_labour_force_participation_rate,human_development_index,gross_national_income_per_capita_2017_ppp,total_population_as_of_january_1st_thousands,total_population_as_of_july_1st_thousands,male_population_as_of_july_1st_thousands,female_population_as_of_july_1st_thousands,population_density_as_of_july_1st_persons_per_square_km,population_sex_ratio_as_of_july_1st_males_per_100_females,median_age_as_of_july_1st_years,natural_change_births_minus_deaths_thousands,rate_of_natural_change_per_1000_population,population_change_thousands,population_growth_rate_percentage,population_annual_doubling_time_years,births_thousands,births_by_women_aged_15_to_19_thousands,crude_birth_rate_births_per_1000_population,total_fertility_rate_live_births_per_woman,net_reproduction_rate_surviving_daughters_per_woman,mean_age_of_childbearing_years,sex_ratio_at_birth_males_per_100_female_births,total_deaths_thousands,male_deaths_thousands,female_deaths_thousands,crude_death_rate_deaths_per_1000_population,live_births_surviving_to_age_1_thousands,net_number_of_migrants_thousands,net_migration_rate_per_1000_population,country_id,gross_national_income_per_capita_2017_ppp_log
Andorra,104,Andorra,1998,9.796318810027813,92.85714286,9.937817011582904,,7.654578903,,10.79878,,72.86824719236652,,8.767,,10.072010414928984,74.41249060707479,7.142857143,,,,,0.8267655938187701,46319.68664,64.941,65.186,34.027,31.158,138.6926,109.2062,35.2712,0.305,4.686,0.489,0.75,92.4196,0.751,0.015,11.528,1.2496,0.5973,30.232,106.4,0.446,0.284,0.161,6.842,0.745,0.183,2.811,3,10.74332234711173
Andorra,111,Andorra,2005,9.964730263,71.42857143,10.08963966,,7.293925216,,10.82593,,72.31129607374497,,10.487,,10.20878983,73.9098217380788,28.57142857,,,,,0.833,55553.50369,78.424,79.826,41.679,38.147,169.8415,109.2604,36.8335,0.34,4.329,2.803,3.512,19.7365,0.864,0.019,10.989,1.2913,0.618,30.647,106.2,0.524,0.293,0.231,6.66,0.859,2.467,31.372,3,10.925101865806047
Andorra,114,Andorra,2008,10.42379999,75.0,10.47117519,,6.422575183,,11.67192,,71.75860187855008,,11.12,,10.51802993,73.41054848169834,25.0,,,,,0.85,52516.10603,77.123,76.055,39.191,36.864,161.8191,106.3152,37.0637,0.445,5.745,-2.136,-2.809,27.336312361778855,0.91,0.02,11.759,1.4038,0.674,30.79,106.1,0.465,0.273,0.192,6.014,0.905,-2.584,-33.396,3,10.868875183055694
Andorra,123,Andorra,2017,10.48741213,67.85714286,10.55577309,,6.043168271,,13.04647577,,71.21013207,,6.404,,10.62337889,72.9146479,32.14285714,10.00815435,,,,0.868,52650.22576,73.312,73.836,37.38,36.456,157.0989,102.5332,40.7752,0.164,2.228,1.049,1.421,48.7788,0.618,0.012,8.419,1.2156,0.5829,31.969,106.2,0.454,0.248,0.206,6.191,0.615,0.887,12.091,3,10.87142580549215
Andorra,125,Andorra,2019,10.48113913,53.57142857,10.55511952,,6.505535247,,13.30023874,,70.66585436,,5.985,,10.62797735,72.42209721,46.42857143,10.00815435,,,,0.873,54465.0474,75.666,76.343,38.842,37.502,162.4319,103.5732,41.6989,0.11,1.442,1.354,1.774,39.0726,0.59,0.011,7.779,1.1715,0.5616,32.057,106.3,0.48,0.265,0.215,6.337,0.587,1.238,16.329,3,10.905314442799835
Andorra,127,Andorra,2021,10.48113913,53.57142857,10.55511952,,6.034944671,,13.30023874,,70.66585436,,5.887,,10.62797735,72.42209721,46.42857143,10.00815435,,,,0.858,51166.62661,78.38,79.034,40.361,38.673,168.1574,104.3622,42.4659,-0.075,-0.947,1.308,1.655,41.882,0.567,0.011,7.233,1.1254,0.5397,32.032,106.3,0.642,0.394,0.248,8.18,0.564,1.377,17.556,3,10.842842774474523
Angola,32,Angola,1990,,90.45454545,,,0.429585937,3.794736871,3.537480116,75.408,4.49571694,3.28022336,198.803,2.44,,23.28253778,9.545454545,,0.9029983370308663,32.33490093224612,79.292,0.6228378757942601,4845.706901,11631.523,11828.638,5837.431,5991.206,9.488,97.4333,15.6397,346.566,29.351,394.229,3.333,20.7965,606.245,116.303,51.344,7.2723,2.3727,29.403,103.0,259.679,143.495,116.184,21.993,549.119,47.663,4.037,4,8.485848416881204
Angola,35,Angola,1993,,90.45454545,,,0.439646536,3.669445348,3.38586994,75.371,5.621146849,3.102294533,195.398,3.31,,24.68152103,9.545454545,,0.9029988913535706,31.94099948382765,79.409,0.6134167986814058,2034.215197,12833.385,13038.27,6416.502,6621.768,10.4582,96.9001,15.4668,370.899,28.483,409.769,3.143,22.0537,649.683,126.775,49.893,7.0645,2.349,29.393,103.1,278.784,157.297,121.488,21.41,589.934,38.883,2.986,4,7.617865370913762
Angola,40,Angola,1998,,84.54545455,,,0.473215418,4.195759773,3.804769993,75.456,8.15708305,3.418440104,182.742,2.44,,27.20244409,15.45454545,,0.9029994456766152,31.551896514655834,79.252,0.6041382252559727,3902.583775,15119.19,15366.864,7553.74,7813.124,12.326,96.6802,15.5056,443.486,28.903,495.348,3.224,21.4996,736.639,143.835,48.009,6.7324,2.2827,29.251,103.0,293.153,157.237,135.916,19.106,670.965,51.856,3.38,4,8.269394119167503
Angola,60,Angola,2018,4.183875561,69.54545455,5.417390823,28.87733,0.791170676,12.9132,12.1721,74.955,28.1639,11.5409,142.575,2.28,6.894268513,51.54617,30.45454545,34.17144,0.903,31.16753357,79.653,0.595,6381.521946,30738.887,31273.533,15445.494,15828.04,25.0851,97.5831,16.0762,1007.665,32.246,1069.292,3.419,20.2734,1257.353,225.808,40.236,5.5187,2.4158,28.939,102.6,249.688,135.68,114.008,7.99,1204.595,61.632,1.972,4,8.761161897420202
Angola,61,Angola,2019,4.183875561,70.0,5.417390823,28.87733,0.737991588,12.9132,12.1721,75.011,28.1639,11.5409,141.278,2.18,6.894268513,51.54617,30.0,34.17144,0.902,30.92797058,79.519,0.595,6082.746624,31808.179,32353.588,15983.035,16370.553,25.9514,97.6328,16.115,1031.836,31.914,1090.818,3.372,20.556,1284.366,233.123,39.725,5.4423,2.3925,28.91,102.6,252.53,136.79,115.74,7.811,1231.87,58.986,1.824,4,8.71321162032151
Angola,63,Angola,2021,4.183875561,70.45454545,5.417390823,28.87733,0.675409733,12.9132,12.1721,73.968,28.1639,11.5409,138.402,2.18,6.894268513,51.54617,29.54545455,34.17144,0.903,30.41216757,79.071,0.586,5465.617791,33957.975,34503.774,17051.491,17452.283,27.6761,97.7035,16.1844,1062.514,30.8,1091.597,3.164,21.9073,1338.792,248.197,38.809,5.3044,2.3495,28.87,102.7,276.278,150.515,125.763,8.009,1286.766,29.089,0.843,4,8.606232439235256
