,country,expected_years_of_schooling
5299,Eswatini,12.27886581
2429,Haiti,9.7
4349,Pakistan,8.658349991
2775,Jordan,10.93816566
5920,Saint Vincent and the Grenadines,11.70584267
362,Burundi,4.525563538
824,Brunei Darussalam,14.87514973
3914,Mauritius,12.23978043
4465,Palau,15.43237363
2547,Ireland,17.03665924
3303,Lesotho,8.659733136
2177,Greece,12.93603039
4790,Saudi Arabia,14.70959582
5976,Venezuela (Bolivarian Republic of),14.12521
5273,Sweden,18.5685997
5971,Venezuela (Bolivarian Republic of),14.31676006
1408,Germany,14.56072642
2127,Guinea-Bissau,8.693940163
2635,Iceland,17.24799919
2770,Jordan,12.54397011
135,United Arab Emirates,11.16307764
2099,Gambia,7.964540005
6075,Samoa,12.35665312
1609,Ecuador,12.94741685
2940,Cambodia,11.33676945
1184,Colombia,8.941541632
2974,Kiribati,11.801993
1860,France,15.58909988
3625,Marshall Islands,10.29602303
345,Azerbaijan,12.81493173
4842,Senegal,5.464044094
1473,Dominica,12.80393867
2368,Croatia,9.487243058
442,Benin,12.61454964
752,Brazil,13.54003525
3645,Marshall Islands,10.2393198
1920,Gabon,11.83213
4132,Netherlands,17.31242943
1285,Costa Rica,10.75606012
4366,Panama,12.90060043
4332,Pakistan,5.278092971
2739,Jamaica,12.69840878
2304,Hong Kong,13.05466606
5458,Thailand,13.23031044
3112,Lebanon,14.17113667
1786,Ethiopia,9.096271752
2793,Japan,14.1330204
2587,Iran (Islamic Republic of),14.81373024
2864,Kenya,9.491789818
137,United Arab Emirates,11.40078636
5537,Timor-Leste,12.507159
1914,Micronesia,11.25026
4385,Peru,11.70501995
5799,Ukraine,12.58350601
4582,Portugal,15.43239975
2110,Gambia,9.418626299
4256,New Zealand,14.48279953
1290,Costa Rica,11.51434326
3017,South Korea,15.42980003
3130,Lebanon,10.83927
3688,Mali,3.98229003
4575,North Korea,10.78317
5505,Turkmenistan,11.596108435
4013,Namibia,11.87378979
2619,Iraq,11.8244955
2133,Guinea-Bissau,9.735424232
3940,Malawi,7.435420036
1684,Eritrea,8.03085041
5500,Tajikistan,11.60900119
2681,Israel,16.17112923
535,Bulgaria,14.90898991
5727,Tuvalu,9.40443
3288,Sri Lanka,13.92172654
2434,Hungary,11.21051025
560,Bahrain,13.21131992
1017,Chile,16.36503983
4328,Pakistan,5.060745313
3845,Mozambique,4.073319912
5400,Chad,7.879559994
1480,Dominica,12.80393867
4619,Paraguay,12.10713959
1543,Dominican Republic,10.42644165
93,Albania,14.81892014
2981,Saint Kitts and Nevis,13.47657166
5803,Ukraine,13.73404026
5008,San Marino,11.96958591376549
3045,Kuwait,11.45228958
2038,Ghana,11.13860035
1374,Cyprus,15.64826965
4874,Singapore,12.7
3741,Malta,16.83856964
495,Bangladesh,8.692130089
981,Switzerland,15.73497963
4626,Paraguay,11.96699047
2306,Hong Kong,13.29104873
2148,Equatorial Guinea,7.7069317925
6014,Viet Nam,12.9519325
2819,Kazakhstan,12.25097513
4701,Romania,14.22990036
3246,Liechtenstein,14.46243
5309,Eswatini,13.74434586
1068,Côte d'Ivoire,6.972862053
6089,Yemen,7.857729912
3053,Kuwait,13.30109978
5057,Serbia,12.45202477
6137,South Africa,14.00878525
3557,Maldives,9.747140926
3600,Mexico,12.91388988
283,Australia,21.95433044
3316,Lesotho,12.00497023
1024,China,8.630220413
4204,Nepal,9.161899567
3102,Lao People's Democratic Republic,10.13611031
4761,Rwanda,11.09284973
3424,Morocco,6.517419815
3676,North Macedonia,13.50732994
1039,China,11.09269829
5739,Tanzania,6.652585433
1261,Cabo Verde,11.52488995
312,Austria,15.85573006
1774,Ethiopia,5.791399956
469,Burkina Faso,7.163340092
3048,Kuwait,13.21151495
243,Antigua and Barbuda,15.03483963
646,Belarus,12.90583038
1844,Fiji,14.22373985
3430,Morocco,7.467455149
3872,Mauritania,3.717259884
733,Bolivia (Plurinational State of),14.94697094
3220,Saint Lucia,13.08642137
507,Bangladesh,11.59809017
4796,Saudi Arabia,15.67512989
2919,Cambodia,7.450649897
5529,Turkmenistan,12.37347138
4663,Qatar,11.0530901
2275,Guyana,9.967733231
1793,Finland,15.21839046
692,Belize,12.43103027
1606,Ecuador,12.46827684
5484,Tajikistan,10.08977032
6002,Viet Nam,12.3896841
3886,Mauritania,7.289490223
2956,Kiribati,11.58656025
3811,Mongolia,7.741680145
5527,Turkmenistan,11.75158102
153,United Arab Emirates,13.30245607
4697,Romania,14.63422012
3973,Malaysia,10.28680992
3760,Myanmar,8.119428476
3868,Mozambique,10.09584184
2371,Croatia,10.89050961
6177,Zimbabwe,10.32256985
4145,Netherlands,16.63899994
2159,Equatorial Guinea,7.77686311
4129,Netherlands,14.92512989
2116,Guinea-Bissau,6.93763015
2599,Iraq,8.824444
2636,Iceland,17.69742966
2389,Croatia,14.54564953
912,Central African Republic,6.022202436
1950,Gabon,12.97731
6153,Zambia,8.376184464
1715,Spain,15.99135971
3304,Lesotho,8.584306399
4311,Oman,13.73921967
3342,Lithuania,16.04578018
5267,Sweden,15.73752022
1421,Germany,16.23650837
4131,Netherlands,15.07598972
4215,Nepal,12.66460037
184,Argentina,17.27013969
4394,Peru,12.87779045
3090,Lao People's Democratic Republic,9.44408989
1835,Fiji,13.2659351
2006,Georgia,13.90508008
1389,Czechia,14.83358955
679,Belize,11.13366187
1989,Georgia,11.00292015
5072,Serbia,13.53829956
2886,Kyrgyzstan,10.60842991
453,Burkina Faso,2.999229908
