,country,expected_years_of_schooling
5402,Chad,7.51528615
5391,Chad,5.462709904
1010,Chile,14.87129974
1006,Chile,14.01912975
1000,Chile,12.51533985
1014,Chile,15.43756962
993,Chile,12.73246956
1003,Chile,13.3077898
1019,Chile,16.44754982
1007,Chile,14.36555004
1015,Chile,16.1086998
1021,Chile,16.73130035
994,Chile,12.70689964
1018,Chile,16.41803932
1023,Chile,16.73130035
996,Chile,11.86658802
1016,Chile,16.24946976
995,Chile,11.70440006
1008,Chile,14.32129955
1001,Chile,12.97222042
997,Chile,12.02877598
998,Chile,12.19096394
1011,Chile,14.87985039
1005,Chile,13.67539024
999,Chile,12.35315189
1004,Chile,13.46125984
992,Chile,12.75809093
1036,China,10.1829422
1028,China,8.806750298
1043,China,12.2343502
1055,China,14.2361149
1051,China,13.89733
1027,China,8.812950134
1034,China,9.689740181
1033,China,9.499790192
1045,China,12.63595018
1035,China,9.87969017
1046,China,12.84618015
1053,China,14.2361149
1025,China,8.670319557
1049,China,13.47687006
1054,China,14.2361149
1029,China,8.94740963
1030,China,9.08220005
1048,China,13.26664009
1032,China,9.309840202
1038,China,10.78944626
1044,China,12.42572021
1047,China,13.05641012
1050,China,13.68710003
1040,China,11.39595032
1052,China,14.03231
1026,China,8.771459579
1209,Colombia,14.29211044
1196,Colombia,11.65293026
1214,Colombia,14.44274998
1189,Colombia,10.45281029
1207,Colombia,14.28950977
1203,Colombia,13.94388962
1208,Colombia,14.22657967
1194,Colombia,11.65308952
1202,Colombia,13.51774025
1193,Colombia,11.66399956
1186,Colombia,10.07382011
1185,Colombia,9.490810394
1200,Colombia,13.0490799
1188,Colombia,10.38840008
1210,Colombia,14.41985989
1213,Colombia,14.51506042
1211,Colombia,14.40923977
1195,Colombia,11.65300989
1192,Colombia,11.72694016
1204,Colombia,13.9293499
1206,Colombia,13.75541973
1199,Colombia,12.69102955
1197,Colombia,11.9110651
1198,Colombia,12.16919994
1205,Colombia,14.02896976
1187,Colombia,10.25879955
1224,Comoros,8.280024665
1241,Comoros,11.37745339
1228,Comoros,9.303560257
1218,Comoros,8.186630249
1230,Comoros,9.800420189
1221,Comoros,8.233327457
1226,Comoros,8.631580353
1232,Comoros,10.12216015
1229,Comoros,9.639550209
1237,Comoros,10.92651005
1235,Comoros,10.60477009
1217,Comoros,8.171094053
1247,Comoros,11.92432393
1233,Comoros,10.28303013
1242,Comoros,11.51177361
1227,Comoros,8.967570305
1225,Comoros,8.295590401
1243,Comoros,11.64767958
1246,Comoros,11.92432393
1223,Comoros,8.264458929
1239,Comoros,11.24825001
1245,Comoros,11.92432393
1222,Comoros,8.248893193
1220,Comoros,8.217761721
1240,Comoros,11.24470043
1155,Congo,10.57212658
1166,Congo,9.112368902
1154,Congo,10.72931957
1167,Congo,9.314947764
1180,Congo,12.08875833
1162,Congo,9.471775627
1152,Congo,11.00813007
1159,Congo,9.943354607
1160,Congo,9.786161613
