,country,human_development_index,gross_national_income_per_capita_2017_ppp_log,median_age_as_of_july_1st_years,mean_years_of_schooling,rate_of_natural_change_per_1000_population,net_reproduction_rate_surviving_daughters_per_woman,adolescent_birth_rate_per_1000_women_ages_15_19,total_fertility_rate_live_births_per_woman,crude_birth_rate_births_per_1000_population
821,Brunei Darussalam,False,False,False,False,False,False,False,False,False
2813,Japan,False,False,False,False,False,False,False,False,False
3592,Mexico,False,False,False,False,False,False,False,False,False
3127,Lebanon,False,False,False,False,False,False,False,False,False
1516,Denmark,False,False,False,False,False,False,False,False,False
3081,Lao People's Democratic Republic,False,False,False,False,False,False,False,False,False
796,Barbados,False,False,False,False,False,False,False,False,False
3650,North Macedonia,True,True,False,False,False,False,False,False,False
845,Bhutan,True,False,False,True,False,False,False,False,False
5439,Togo,False,False,False,False,False,False,False,False,False
4040,Niger,False,False,False,False,False,False,False,False,False
3338,Lithuania,False,False,False,False,False,False,False,False,False
1428,Germany,False,False,False,False,False,False,False,False,False
2335,Hong Kong,False,False,False,False,False,False,False,False,False
475,Burkina Faso,False,False,False,False,False,False,False,False,False
4427,Philippines,False,False,False,False,False,False,False,False,False
5432,Togo,False,False,False,False,False,False,False,False,False
2040,Ghana,False,False,False,False,False,False,False,False,False
1197,Colombia,False,False,False,False,False,False,False,False,False
15,Afghanistan,False,False,False,False,False,False,False,False,False
5156,Suriname,True,False,False,True,False,False,False,False,False
4918,Solomon Islands,False,False,False,False,False,False,False,False,False
1250,Cabo Verde,True,False,False,True,False,False,False,False,False
4645,Qatar,False,False,False,False,False,False,False,False,False
1987,Georgia,True,False,False,True,False,False,False,False,False
5534,Turkmenistan,False,False,False,False,False,False,False,False,False
565,Bahrain,False,False,False,False,False,False,False,False,False
5629,Trinidad and Tobago,False,False,False,False,False,False,False,False,False
509,Bangladesh,False,False,False,False,False,False,False,False,False
5312,Seychelles,True,False,False,True,False,False,False,False,False
3892,Mauritania,False,False,False,False,False,False,False,False,False
814,Brunei Darussalam,False,False,False,False,False,False,False,False,False
5301,Eswatini,False,False,False,False,False,False,False,False,False
1798,Finland,False,False,False,False,False,False,False,False,False
3219,Saint Lucia,False,False,False,False,False,False,False,False,False
1113,Cameroon,False,False,False,False,False,False,False,False,False
3118,Lebanon,True,False,False,True,False,False,False,False,False
3,Afghanistan,False,False,False,False,False,False,False,False,False
5450,Thailand,False,False,False,False,False,False,False,False,False
5462,Thailand,False,False,False,False,False,False,False,False,False
